作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
41966,GOD'S MARBLEGOD'S MARBLE,原作（木葉功一）[作画：佐藤純也],2005年,モーニング新マグナム増刊,0,
16156,カフェ ボヘミア読み切りカフェ ボヘミア;カフェボヘミア;;かふぇぼへみあ  カフェボヘミア かふぇぼへみあ,（木葉功一）,1997年,モーニング,0,
16155,キリコ;;;;;きりこ;キリコ  キリコ きりこ,（木葉功一）,,,5,1件
64026,クリオの男連載終了クリオの男;クリオノオトコ;;くりおのおとこ  クリオノオトコ くりおのおとこ,（木葉功一）,2001年,イブニング,0,
63035,JAGUAJAGUA;ジャギュア;;じゃぎゅあ  ジャギュア じゃぎゅあ,（木葉功一）,,,0,
63036,ディザインドディザインド;;でぃざいんど  ディザインド でぃざいんど,（木葉功一）,,,0,
27045,フルーツ;;;;;ふるーつ;フルーツ  フルーツ ふるーつ,（木葉功一）,2002年,ビッグコミックスピリッツ増刊IKKI,0,
24694,マリオガン連載終了;;;;;まりおがん;マリオガン  マリオガン まりおがん,（木葉功一）,2003年,ビッグコミックスピリッツ,0,
16158,ルビー・ザ・キッド;;;;;るびーざきっど;ルビーザキッド;ルビー・ザ・キッド  ルビーザキッド るびーざきっど,（木葉功一）,,,0,
作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
32784,頑張れにっぽん読み切り成人指定;;;;がんばれにっぽん;ガンバレニッポン;頑張れにっぽん  ガンバレニッポン がんばれにっぽん,（R・古賀勲）,,雑誌データ不明・未登録,0,
32785,KILLING NIGHT!読み切り成人指定;;;;KILLING NIGHT!;きりんぐないと;キリングナイト  キリングナイト きりんぐないと,（R・古賀勲）,,雑誌データ不明・未登録,0,
18568,コスプレ刑事連載終了;;;;;こすぷれでか;コスプレデカ;コスプレ刑事  コスプレデカ こすぷれでか,（きもと稲葉）,1997年,ヤングキングアワーズ,0,
32783,SWEET-SOUR NIGHT読み切り成人指定;;;;SWEET-SOUR NIGHT;すいーとさわーないと;スイートサワーナイト  スイートサワーナイト すいーとさわーないと,（R・古賀勲）,,雑誌データ不明・未登録,0,
32777,BEGIN WITH ……SHOUKO.読み切り成人指定;;;;BEGIN WITH ……SHOUKO.;びぎんうぃずしょうこ;ビギンウィズショウコ  ビギンウィズショウコ びぎんうぃずしょうこ,（R・古賀勲）,,雑誌データ不明・未登録,0,
32779,Peaceful-Starand dangerous gurdian読み切り成人指定;Peaceful-Star;and dangerous gurdian;あんどでんじゃらすがーでぃあん;ぴーすふるすたー;アンドデンジャラスガーディアン;ピースフルスター  ピースフルスター ぴーすふるすたー アンドデンジャラスガーディアン あんどでんじゃらすがーでぃあん,（R・古賀勲）,,雑誌データ不明・未登録,0,
33188,Final Ties連載終了Final Ties;ファイナルタイズ;;ふぁいなるたいず  ファイナルタイズ ふぁいなるたいず,（きもと稲葉）,1996年,ヤングキングアワーズ,0,
32781,"風雲!!スキャンダルショット必殺""ちぇっく""まんが ☆キミキミ、""ちぇっく""して喜こんでるなよ☆読み切り成人指定;;;ふううんすきゃんだるしょっと;フウウンスキャンダルショット;必殺""ちぇっく""まんが ☆キミキミ、""ちぇっく""して喜こんでるなよ☆;風雲!!スキャンダルショット  フウウンスキャンダルショット ふううんすきゃんだるしょっと",（R・古賀勲）,,雑誌データ不明・未登録,0,
32780,ぽりすSTORY in CHIBA読み切り成人指定;;;;ぽりすSTORY in CHIBA;ぽりすすとーりーいんちば;ポリスストーリーインチバ  ポリスストーリーインチバ ぽりすすとーりーいんちば,（R・古賀勲）,,雑誌データ不明・未登録,0,
32778,Monday is Niceday読み切り成人指定;;;;Monday is Niceday;まんでぃいずないすでぃ;マンディイズナイスディ マンデイイズナイスデイ マンディイズナイスディ まんでぃいずないすでぃ,（R・古賀勲）,,雑誌データ不明・未登録,0,
32782,LET'S 警備ING!読み切り成人指定レッツケイビイング;LET'S 警備ING!  レッツケイビイング れっつけいびいんぐ,（R・古賀勲）,,雑誌データ不明・未登録,0,
作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
36618,つくみみ連載終了代表作成人指定;;;;つくみみ;ツクミミ  ツクミミ つくみみ,（あ〜る・こが）,,COMIC XO,0,
32594,夏果の夏成人指定夏果の夏,（あ〜る・こが）,,,0,
32611,双まら成人指定双まら,（あ〜る・こが）,,,0,
32601,あの嘘ウソ成人指定;;;;あのうそうそ;あの嘘ウソ;アノウソウソ  アノウソウソ あのうそうそ,（あ〜る・こが）,,,0,
84135,アパートの清美ちゃん成人指定アパートの清美ちゃん;アパートノキヨミチャン;;あぱーとのきよみちゃん  アパートノキヨミチャン あぱーとのきよみちゃん,（あ〜る・こが）,,,0,
32605,雨やどり成人指定;;;;あまやどり;アマヤドリ;雨やどり  アマヤドリ あまやどり,（あ〜る・こが）,,,0,
32571,雨のち晴れ成人指定;;;;;あめのちはれ;アメノチハレ;雨のち晴れ  アメノチハレ あめのちはれ,（あ〜る・こが）,,,0,
32588,あや、まけないよ!成人指定;;;;あや、まけないよ!;あやまけないよ;アヤマケナイヨ  アヤマケナイヨ あやまけないよ,（あ〜る・こが）,,,0,
84118,アリガトウノ儀式読み切り成人指定アリガトウの儀式;アリガトウノギシキ;;ありがとうのぎしき  アリガトウノギシキ ありがとうのぎしき,（あ〜る・こが）,2013年,コミック・マショウ,0,
32657,ある愛のかたち成人指定;;;;;あるあいのかたち;ある愛のかたち;アルアイノカタチ  アルアイノカタチ あるあいのかたち,（あ〜る・こが）,1999年,COMICコーヒーブレイク,0,
32649,いきなり金髪シスター読み切り成人指定;;;;;いきなりきんぱつしすたー;いきなり金髪シスター;イキナリキンパツシスター  イキナリキンパツシスター いきなりきんぱつしすたー,（あ〜る・こが）,,COMICコーヒーブレイク,0,
84117,いっしょにアリガトウ読み切り成人指定いっしょにアリガトウ;イッショニアリガトウ;;いっしょにありがとう  イッショニアリガトウ いっしょにありがとう,（あ〜る・こが）,2013年,コミック・マショウ,0,
32568,犬の日常成人指定;;;;;いぬのにちじょう;イヌノニチジョウ;犬の日常  イヌノニチジョウ いぬのにちじょう,（あ〜る・こが）,,,0,
32569,INNOCENT MEMORY成人指定;;;;;INNOCENT MEMORY;いのせんとめもりー;イノセントメモリー  イノセントメモリー いのせんとめもりー,（あ〜る・こが）,,,0,
32619,今だけちょっとだけ成人指定;;;;;いまだけちょっとだけ;イマダケチョットダケ;今だけちょっとだけ  イマダケチョットダケ いまだけちょっとだけ,（あ〜る・こが）,,,0,
32642,妹…読み切り成人指定;;;;;いもうと;イモウト;妹…  イモウト いもうと,（あ〜る・こが）,2001年,COMIC桃姫,0,
32620,妹ちゃんねる成人指定;;;;;いもうとちゃんねる;イモウトチャンネル;妹ちゃんねる  イモウトチャンネル いもうとちゃんねる,（あ〜る・こが）,,,0,
32616,うちのM兄ちゃん成人指定;;;;;うちのM兄ちゃん;うちのえむにいちゃん;ウチノエムニイチャン  ウチノエムニイチャン うちのえむにいちゃん,（あ〜る・こが）,,,0,
32618,運動会成人指定;;;;;うんどうかい;ウンドウカイ;運動会  ウンドウカイ うんどうかい,（あ〜る・こが）,,,0,
32638,お祝いしよ!読み切り成人指定;;;;;おいわいしよ;お祝いしよ!;オイワイシヨ  オイワイシヨ おいわいしよ,（あ〜る・こが）,2001年,COMIC桃姫,0,
32593,お正月どころじゃないんだから!成人指定;;;;;おしょうがつどころじゃないんだから;お正月どころじゃないんだから!;オショウガツドコロジャナインダカラ  オショウガツドコロジャナインダカラ おしょうがつどころじゃないんだから,（あ〜る・こが）,,,0,
32602,弟を調教する方法成人指定;;;;おとうとおちょうきょうするほうほう;おとうとをちょうきょうするほうほう;オトウトオチョウキョウスルホウホウ;オトウトヲチョウキョウスルホウホウ;弟を調教する方法  オトウトヲチョウキョウスルホウホウ おとうとをちょうきょうするほうほう,（あ〜る・こが）,,,0,
32631,おろしまん成人指定;;;;おろしまん;オロシマン  オロシマン おろしまん,（あ〜る・こが）,,,0,
32561,温泉の火照りの後で成人指定;;;;おんせんのほてりのあとで;オンセンノホテリノアトデ;温泉の火照りの後で  オンセンノホテリノアトデ おんせんのほてりのあとで,（あ〜る・こが）,,,0,
84133,帰ってきた南の島の座敷童子成人指定帰ってきた南の島の座敷童;カエッテキタミナミノシマノザシキワラシ;;かえってきたみなみのしまのざしきわらし  カエッテキタミナミノシマノザシキワラシ かえってきたみなみのしまのざしきわらし,（あ〜る・こが）,,,0,
32582,果実姉妹奮戦記成人指定;;;;かじつしまいふんせんき;カジツシマイフンセンキ;果実姉妹奮戦記  カジツシマイフンセンキ かじつしまいふんせんき,（あ〜る・こが）,,,0,
32622,ガムテ成人指定;;;;がむて;ガムテ  ガムテ がむて,（あ〜る・こが）,,,0,
32584,きょういく実習成人指定;;;;;きょういくじっしゅう;きょういく実習;キョウイクジッシュウ  キョウイクジッシュウ きょういくじっしゅう,（あ〜る・こが）,,,0,
32614,兄妹なのに他人行儀成人指定;;;;;きょうだいなのにたにんぎょうぎ;キョウダイナノニタニンギョウギ;兄妹なのに他人行儀  キョウダイナノニタニンギョウギ きょうだいなのにたにんぎょうぎ,（あ〜る・こが）,,,0,
32630,金属ちんこ成人指定;;;;;きんぞくちんこ;キンゾクチンコ;金属ちんこ  キンゾクチンコ きんぞくちんこ,（あ〜る・こが）,,,0,
32600,義妹成人指定;;;;ぎまい;ギマイ;義妹  ギマイ ぎまい,（あ〜る・こが）,,,0,
18568,コスプレ刑事連載終了;;;;;こすぷれでか;コスプレデカ;コスプレ刑事  コスプレデカ こすぷれでか,（きもと稲葉）,1997年,ヤングキングアワーズ,0,
32570,子猫なのにの成人指定子猫なのにの;コネコナノニノ;;こねこなのにの  コネコナノニノ こねこなのにの,（あ〜る・こが）,,,0,
32572,仔猫の子守唄成人指定;;;;;こねこのこもりうた;コネコノコモリウタ;仔猫の子守唄  コネコノコモリウタ こねこのこもりうた,（あ〜る・こが）,,,0,
32566,木もれ陽成人指定;;;;;こもれび;コモレビ;木もれ陽  コモレビ こもれび,（あ〜る・こが）,,,0,
32591,こんがり陽焼けパーティー成人指定;;;;;こんがりひやけぱーてぃー;こんがり陽焼けパーティー;コンガリヒヤケパーティー  コンガリヒヤケパーティー こんがりひやけぱーてぃー,（あ〜る・こが）,,,0,
32634,今夜が山田。読み切り成人指定;;;;;こんやがやまだ;コンヤガヤマダ;今夜が山田。  コンヤガヤマダ こんやがやまだ,（あ〜る・こが）,2001年,COMIC桃姫,0,
32564,ごほうび下さい…。成人指定;;;;;ごほうびください;ごほうび下さい…。;ゴホウビクダサイ  ゴホウビクダサイ ごほうびください,（あ〜る・こが）,,,0,
32567,ごめんね…。成人指定;;;;ごめんね;ごめんね…。;ゴメンネ  ゴメンネ ごめんね,（あ〜る・こが）,,,0,
32627,沙耶は元気です。成人指定;;;;;さやはげんきです;サヤハゲンキデス;沙耶は元気です。  サヤハゲンキデス さやはげんきです,（あ〜る・こが）,,,0,
17645,Sample Me Please連載終了成人指定Sample Me Please;サンプルミィプリーズ;;さんぷるみぃぷりーず サンプルミープリーズ サンプルミィプリーズ さんぷるみぃぷりーず,（あ〜る・こが）,2000年,コミックパラダイス,0,
32603,産卵モーニング成人指定;;;;さんらんもーにんぐ;サンランモーニング;産卵モーニング  サンランモーニング さんらんもーにんぐ,（あ〜る・こが）,,,0,
32629,幸せ家族ゲーム成人指定;;;;;しあわせかぞくげーむ;シアワセカゾクゲーム;幸せ家族ゲーム  シアワセカゾクゲーム しあわせかぞくげーむ,（あ〜る・こが）,,,0,
33187,思想在出想い出成人指定思想在出;シソウザイシュツ;;想い出;オモイデ;しそうざいしゅつ;おもいで  シソウザイシュツ しそうざいしゅつ オモイデ おもいで,（あ〜る・こが）,,,0,
84134,宿題はオナ禁成人指定宿題はオナ禁;シュクダイハオナキン;;しゅくだいはおなきん  シュクダイハオナキン しゅくだいはおなきん,（あ〜る・こが）,,,0,
32623,少女病棟連載終了成人指定;;;Ward for girls.;しょうじょびょうとう;ショウジョビョウトウ;少女病棟  ショウジョビョウトウ しょうじょびょうとう,（あ〜る・こが）,,COMIC桃姫,0,
32628,新愛なる妹よ成人指定;;;;;しんあいなるいもうとよ;シンアイナルイモウトヨ;新愛なる妹よ  シンアイナルイモウトヨ しんあいなるいもうとよ,（あ〜る・こが）,,,0,
32587,THE INTRESTED PARTIES成人指定;;;;;THE INTRESTED PARTIES;じいんたれすてっどぱーてぃーず;ジインタレステッドパーティーズ  ジインタレステッドパーティーズ じいんたれすてっどぱーてぃーず,（あ〜る・こが）,,,0,
32562,情と愛と欲の間で成人指定;;;;;じょうとあいとよくのあいだで;ジョウトアイトヨクノアイダデ;情と愛と欲の間で  ジョウトアイトヨクノアイダデ じょうとあいとよくのあいだで,（あ〜る・こが）,,,0,
32607,女優少女成人指定;;;;じょゆうしょうじょ;ジョユウショウジョ;女優少女  ジョユウショウジョ じょゆうしょうじょ,（あ〜る・こが）,,,0,
32604,スイッチ成人指定;;;SWITCH;すいっち;スイッチ  スイッチ すいっち,（あ〜る・こが）,,,0,
32647,STILL・ALIVE読み切り成人指定;;;;;STILL・ALIVE;すてぃるあらいぶ;スティルアライブ STILL ALIVE スティルアライブ すてぃるあらいぶ,（あ〜る・こが）,1999年,COMICコーヒーブレイク,0,
32640,蝉の声成人指定;;;;;せみのこえ;セミノコエ;蝉の声  セミノコエ せみのこえ,（あ〜る・こが）,,,0,
32624,立ち入り禁止のえっち基地成人指定立ち入り禁止のえっち基地;タチイリキンシノエッチキチ;;たちいりきんしのえっちきち  タチイリキンシノエッチキチ たちいりきんしのえっちきち,（あ〜る・こが）,,コミックMANA,0,
84124,だっしゅ&せっくす読み切り成人指定だっしゅ&せっくす;ダッシュアンドセックス;;だっしゅあんどせっくす  ダッシュアンドセックス だっしゅあんどせっくす,（あ〜る・こが）,2012年,コミック・マショウ,0,
32583,ダムテ成人指定;;;;だむて;ダムテ  ダムテ だむて,（あ〜る・こが）,,,0,
32585,小さな冒険成人指定;;;;;ちいさなぼうけん;チイサナボウケン;小さな冒険  チイサナボウケン ちいさなぼうけん,（あ〜る・こが）,,,0,
